Distillery,Region,lat,lng
Aberfeldy,Highlands,56.62519115,-3.850199013
Aberlour,Speyside,57.46739473,-3.229643877
AnCnoc,Highlands,57.44175084,-2.785294605
Ardbeg,Islay,55.64060693,-6.108502892
Ardmore,Highlands,57.35055698,-2.743628516
Arran,Highlands,55.69914543,-5.278894644
Auchentoshan,Lowlands,55.9223731,-4.439338875
Auchroisk,Speyside,57.52387193,-2.990864905
Aultmore,Speyside,57.52387193,-2.990864905
Balblair,Highlands,57.842735,-4.177749187
Balmenach,Speyside,57.32570941,-3.533655781
Balvenie,Speyside,57.4528442,-3.123496696
BenNevis,Highlands,56.83495219,-5.073417961
Benriach,Speyside,57.60889277,-3.282789232
Benrinnes,Speyside,57.4435084,-3.237839217
Benromach,Speyside,57.61373702,-3.619764409
Bladnoch,Lowlands,54.8581926,-4.458949266
BlairAthol,Highlands,56.69806338,-3.718544079
Bowmore,Islay,55.75602432,-6.28380622
Bruichladdich,Islay,55.7684733,-6.359364476
Bunnahabhain,Islay,55.88247491,-6.123656815
Caol Ila,Islay,55.85480396,-6.10936872
Cardhu,Speyside,57.47077433,-3.355645134
Clynelish,Highlands,58.01364743,-3.859208477
Craigellachie,Speyside,57.4889112,-3.187327845
Cragganmore,Speyside,57.41003141,-3.389855519
Dailuaine,Speyside,57.45291827,-3.276154891
Dalmore,Highlands,57.68856066,-4.239120326
Dalwhinne,Highlands,56.93856326,-4.242292788
Deanston,Highlands,56.18937637,-4.071063716
Dufftown,Speyside,57.438068,-3.128374395
Edradour,Highlands,56.70154251,-3.700735988
Macduff,Highlands,57.63267931,-2.468546969
GlenElgin,Speyside,57.63264135,-3.297192577
GlenGarioch,Highlands,57.33843197,-2.316943285
GlenGrant,Speyside,57.53046289,-3.210556717
GlenKeith,Speyside,57.52387193,-2.990864905
GlenMoray,Speyside,57.64364228,-3.344828943
GlenOrd,Highlands,57.52356368,-4.476185052
GlenScotia,Campbeltown,55.42980987,-5.603737295
GlenSpey,Speyside,57.52662529,-3.207924642
Glenallachie,Speyside,57.45547503,-3.226743617
Glendronach,Highlands,57.49292029,-2.648927487
Glendullan,Speyside,57.44804195,-3.118017226
Glenfarclas,Speyside,57.42688393,-3.318049104
Glenfiddich,Speyside,57.4528442,-3.123496696
Glengoyne,Highlands,56.01500167,-4.362706468
Glenkinchie,Lowlands,55.89011725,-2.890845274
Glenlivet,Speyside,57.34240537,-3.338116284
Glenlossie,Speyside,57.63264135,-3.297192577
Glenmorangie,Highlands,57.82358488,-4.0767346
Glenrothes,Speyside,57.52687711,-3.209769888
Glenturret,Highlands,56.39060298,-3.854193968
Highland Park,Highlands,58.96701022,-2.952215482
Inchgower,Speyside,57.66194437,-2.963519773
Jura,Highlands,55.83300623,-5.951427767
Knockando,Speyside,57.45724597,-3.343810121
Lagavulin,Islay,55.63561374,-6.125945577
Laphroaig,Islay,55.62956856,-6.153128926
Linkwood,Speyside,57.63264135,-3.297192577
Loch Lomond,Highlands,55.99426023,-4.576972723
Longmorn,Speyside,57.63264135,-3.297192577
Macallan,Speyside,57.48476819,-3.207376158
Mannochmore,Speyside,57.63264135,-3.297192577
Miltonduff,Speyside,57.63264135,-3.297192577
Mortlach,Speyside,57.44399317,-3.118726736
Oban,Highlands,56.41525894,-5.471832724
Fettercairn,Highlands,56.8466258,-2.479332351
Pulteney,Highlands,58.43488448,-3.085261374
RoyalBrackla,Highlands,57.53760987,-3.905230532
RoyalLochnagar,Highlands,57.03448752,-3.21860196
Scapa,Highlands,58.96372138,-2.995421181
Speyburn,Speyside,57.54705703,-3.222468916
Speyside,Speyside,57.08038682,-4.002173683
Springbank,Campbeltown,55.42900142,-5.600659207
Strathisla,Speyside,57.52387193,-2.990864905
Strathmill,Speyside,57.54097418,-2.959656162
Talisker,Highlands,57.30105105,-6.352166071
Tamdhu,Speyside,57.45890592,-3.348204879
Tamnavulin,Speyside,57.318711,-3.310354804
Teaninich,Highlands,57.69168849,-4.260287061
Tobermory,Highlands,56.62080598,-6.069530472
Tomatin,Highlands,57.34110141,-4.010031385
Tomintoul,Speyside,57.31268009,-3.411082873
Tormore,Speyside,57.39710681,-3.412995868
Tullibardine,Highlands,56.25929564,-3.782289533
